species	clade	locomotor_mode	SVL	ESD	fem_length	tib_length	calc_length	foot_length
1	Ranoidea	AJ	35.86	0.88	14.73	15.84	9.24	13.64
2	Hyloidea	TJ	20.97	0.6	10.43	12.73	6.25	11.47
3	Hyloidea	TJ	33.31	1.03	15.75	17.43	8.68	16.01
4	Hyloidea	TJ	27.56	0.83	9.75	11.45	6.21	12.27
5	Hyloidea	AJ	41.82	4.51	17.9	20.29	13.38	12.20
6	Ranoidea	TJ	56.35	1.51	28.12	32.66	13.84	29.45
7	Hyloidea	TJ	18.81	0.46	7.7	7.78	4.05	6.30
8	Hyloidea	AJ	25.62	2	8.86	9.77	5.72	8.28
9	Hyloidea	WH	41.81	1.49	15.21	15.91	8.13	25.27
10	Basal	BWH	46.99	3.54	14.62	15.16	9.39	16.31
11	Hyloidea	TJ	42.38	1.22	16.97	19.56	10.57	16.34
12	Ranoidea	TJ	72.72	2.24	28.35	34.49	16.94	28.01
13	Ranoidea	TJ	69.53	2	26.47	30.63	16.28	34.63
14	Hyloidea	BWH	49.56	2.31	18.59	19.03	9.33	17.86
15	Hyloidea	TJ	15.27	0.45	5.65	6.1	4.01	5.18
16	Ranoidea	TJ	18.13	0.59	6.69	6.74	4.03	7.61
17	Hyloidea	WH	49.6	5.63	19.99	21.64	12.15	18.13
18	Hyloidea	AJ	60.98	1.88	20.3	22.11	13.15	17.49
19	Hyloidea	TJ	57.08	2.85	19.27	21.78	14.02	21.96
20	Ranoidea	WH	15.36	0.36	5.09	5.08	3.3	5.48
21	Ranoidea	TJ	32.76	0.78	14.73	16.27	7.54	15.28
22	Basal	WH	40.19	1.94	15.67	18.45	11.74	14.77
23	Ranoidea	TJ	51.79	1.34	21.67	24.53	11.8	22.67
24	Hyloidea	TJ	30.06	1.1	10.28	10.67	4.9	15.29
25	Hyloidea	BWH	37.91	3.93	12.41	11.83	7.99	13.50
26	Ranoidea	BWH	36.6	2.89	8.99	8.41	5.93	8.82
27	Basal	AQ	92.12	12.46	32.39	30.89	18.1	28.72
28	Hyloidea	TJ	21.93	0.53	8.37	9.98	4.98	10.17
29	Hyloidea	WH	38.26	1.15	16.5	19.04	10.1	20.38
30	Hyloidea	AJ	104.34	4.4	49.64	49.64	28.75	34.97
